"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37035.0331833196","38455.2077682848","38559.0959666381","38948.3139816001","39830.5192426647","39004.7846056033","38097.9834759171","39714.0933835563","39655.920022559","39367.0238450198","41499.6385368811","39388.3526308389","37256.6597201842","37200.0588504797","39440.6678569856","39407.1909679879","39504.4687300445","40058.3133138128","39968.2786852008","35731.9896000615","34343.1513198843","35392.605185777","34732.4958463381","35980.1645924769","35875.6298298588","37715.9266182631","38314.8060318881","38897.122666275","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3154.46981625808","3071.03916046043","2925.83917465014","2834.25946009894","2810.58300474688","2857.11688357938","2936.82145479274","2963.80271244879","2942.43760406657","2944.39410907126","2964.36687495974","2994.43035908696","3026.7098778156","3038.02840895807","3125.50579313245","3233.53937404383","3358.08722685558","3490.28911190948","3549.76557250379","3485.1920678529","3570.86066930455","3617.85449070659","3608.99966578737","3658.99907398238","3709.41834800101","3726.70123167662","3722.43198667671","3726.61764653662","3727.19858667179","3710.79357450408","3515.82422109722",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1189.78466765718","1235.81006329565","1200.27801321734","1286.79365893927","1315.78911741835","1460.8257513794","1484.11446132539","1758.90447663765","1957.02906990812","1904.55992565594","2075.49161435331","2116.46525771251","2102.38460375974","2068.26590413364","2057.06797755329","2058.4002210698","2033.80438893717","2065.03623501599","1970.56016925338",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2810.3411308037","2770.67279312854","2764.95640159479","2664.87834757553","2593.404385392","2579.82216402175","2630.29647210097","2672.02967630758","2694.49144560425","2667.15770200578","2690.55584179132","2756.60176825067","2935.48803863534","3014.5385982414","3165.09110386672","3258.73650717416","3341.06838840246","3426.18453960671","3540.92191672692","3652.11403219674","3794.17949257788","3872.80912329008","3966.07123601043","4092.76863204125","4215.64600180692","4216.40920637826","4121.23484912007","4115.64548016502","4132.59299620084","4159.30288607333","4021.5271531883",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5783.42955231631","5649.78212964561","5148.25485731592","3788.5095556555","3717.36522903903","4139.64076955341","4551.6503810052","4728.1569239722","4792.68416271916","4740.66923573176","4727.96631394756","4766.83673589953","5240.8394329332","5218.20771212651","5593.24362419081","6210.2221878264","6681.10102767941","7341.86519904765","7864.37457862612","7643.49578596548","7692.43428623311","7675.44608452759","8036.69240208792","8140.52597328045","8239.8306720725","8036.41089824639","7568.99816818809","7310.89658895511","6933.49993413352","6670.33145836633","6110.27434069248",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827.03455076903","3496.37458441192","3264.82538693532","3598.81537079636","3921.62053187562","4471.60804369013","4908.9393541816","4400.31899439099","4819.07466708155","5474.85767895861","5892.5905480007","6441.44983374249","6753.89076890572","7154.00554534585","7580.1388645001","8040.09277909266","8568.56188534383","9150.12979741823","9912.16252759265","10313.9163385974","10749.4816712201","11052.7936097627","11227.9663309799","11361.2686043509","11586.833878569","11878.4544479371","12291.8594923641","12770.9642910053","13317.0923133291","13656.5927487572","13192.4449745804",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9574.85959246152","9564.48169780135","9844.90515177089","9838.99686374463","9865.70060506056","9828.69131989041","10049.5392232907","10231.4689455827","10532.4687286968","10510.9106474114","10950.8651657979","10910.2914553736","10741.9317438717","11015.4986422192","11697.7900795864","12046.8146364081","12445.9779513528","12697.5843699491","13107.4585744595","12881.1689024887","13159.6655115523","13323.9753219345","13711.1790546426","13818.2915651611","13886.9908548719","14115.0492721205","14310.5277982196","14214.6130165904","14308.5434708333","14339.5179871859","13399.2116061287",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111454.055663475","106103.552653487","103470.924574644","98978.4746123106","100213.156224204","101570.992098417","102211.63884207","105108.99626343","100100.435655984","97698.5373936066","102494.714621781","98621.536385813","95909.145357488","97795.0272029236","97757.8551507848","90894.8988086786","86425.8972173166","76620.3150637621","68798.4182635369","58374.6153349057","54921.7972461198","56122.5766813272","57389.3187848829","59920.1523118859","62452.1845067078","65267.4151257861","66510.8936646521","67183.6053111678","66968.2211797023","68263.6755335341","63299.4229699049",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14144.763670185","15221.7921466357","16209.3259772191","17312.0345746755","18092.0208138835","17362.5218025698","18104.6978094959","19347.5370400793","19866.2450529656","18981.1683827308","18625.2835537811","17610.7553863202","15523.0387763102","16714.6701331846","18032.6114274365","19426.4401434847","20777.6527103251","22424.1177287545","23103.4565215341","21519.8936160174","23521.2701750961","24647.6292739541","24118.8675158912","24424.1364465071","23550.0990599374","23933.8866120953","23189.5274451329","23597.117752839","22747.2416575831","22066.1010083881","19690.6614630829",
